compound,technique,wavenumber,intensity
CCl4,IR,3669.5394,0.113770587
CCl4,IR,3667.48248,0.113720825
CCl4,IR,3665.42557,0.113723443
CCl4,IR,3663.36865,0.113692025
CCl4,IR,3661.31173,0.113692025
CCl4,IR,3659.25481,0.113788926
CCl4,IR,3657.1979,0.113927876
CCl4,IR,3655.14098,0.11397248
CCl4,IR,3653.08406,0.113920006
CCl4,IR,3651.02715,0.113893778
CCl4,IR,3648.97023,0.113917383
CCl4,IR,3646.91331,0.113859691
CCl4,IR,3644.8564,0.113822993
CCl4,IR,3642.79948,0.113802028
CCl4,IR,3640.74256,0.113760109
CCl4,IR,3638.68565,0.113791547
CCl4,IR,3636.62873,0.113854447
CCl4,IR,3634.57181,0.113825614
CCl4,IR,3632.5149,0.113749632
CCl4,IR,3630.45798,0.11369726
CCl4,IR,3628.40106,0.11363183
CCl4,IR,3626.34415,0.113623981
CCl4,IR,3624.28723,0.113778447
CCl4,IR,3622.23031,0.113977729
CCl4,IR,3620.1734,0.114085382
CCl4,IR,3618.11648,0.114124792
CCl4,IR,3616.05956,0.114130048
CCl4,IR,3614.00265,0.114088009
CCl4,IR,3611.94573,0.114014477
CCl4,IR,3609.88881,0.113888533
CCl4,IR,3607.8319,0.113752251
CCl4,IR,3605.77498,0.113762729
CCl4,IR,3603.71806,0.113849204
CCl4,IR,3601.66115,0.113906891
CCl4,IR,3599.60423,0.114038107
CCl4,IR,3597.54731,0.114214173
CCl4,IR,3595.4904,0.114285202
CCl4,IR,3593.43348,0.114250997
CCl4,IR,3591.37656,0.114172103
CCl4,IR,3589.31965,0.114077501
CCl4,IR,3587.26273,0.114027604
CCl4,IR,3585.20581,0.113990852
CCl4,IR,3583.1489,0.113930499
CCl4,IR,3581.09198,0.113878044
CCl4,IR,3579.03506,0.113859691
CCl4,IR,3576.97815,0.113891156
CCl4,IR,3574.92123,0.11395936
CCl4,IR,3572.86431,0.113996102
CCl4,IR,3570.8074,0.113969856
CCl4,IR,3568.75048,0.113883289
CCl4,IR,3566.69356,0.113775827
CCl4,IR,3564.63665,0.113833477
CCl4,IR,3562.57973,0.113985603
CCl4,IR,3560.52281,0.114009227
CCl4,IR,3558.4659,0.113922629
CCl4,IR,3556.40898,0.113940993
CCl4,IR,3554.35206,0.114074875
CCl4,IR,3552.29515,0.114135304
CCl4,IR,3550.23823,0.114101144
CCl4,IR,3548.18131,0.114061742
CCl4,IR,3546.1244,0.113998727
CCl4,IR,3544.06748,0.113967232
CCl4,IR,3542.01056,0.113993477
CCl4,IR,3539.95365,0.113967232
CCl4,IR,3537.89673,0.113912137
CCl4,IR,3535.83981,0.113951488
CCl4,IR,3533.7829,0.113988227
CCl4,IR,3531.72598,0.114038107
CCl4,IR,3529.66906,0.114264152
CCl4,IR,3527.61215,0.114443202
CCl4,IR,3525.55523,0.11429836
CCl4,IR,3523.49831,0.114038107
CCl4,IR,3521.4414,0.113930499
CCl4,IR,3519.38448,0.113967232
CCl4,IR,3517.32756,0.113990852
CCl4,IR,3515.27065,0.113927876
CCl4,IR,3513.21373,0.113893778
CCl4,IR,3511.15681,0.113885911
CCl4,IR,3509.0999,0.113802028
CCl4,IR,3507.04298,0.113765348
CCl4,IR,3504.98606,0.113851826
CCl4,IR,3502.92915,0.113925253
CCl4,IR,3500.87223,0.113901646
CCl4,IR,3498.81531,0.113836098
CCl4,IR,3496.7584,0.113786306
CCl4,IR,3494.70148,0.113736537
CCl4,IR,3492.64456,0.113702496
CCl4,IR,3490.58765,0.113786306
CCl4,IR,3488.53073,0.11395936
CCl4,IR,3486.47381,0.114043359
CCl4,IR,3484.4169,0.114024979
CCl4,IR,3482.35998,0.113977729
CCl4,IR,3480.30306,0.113909514
CCl4,IR,3478.24615,0.113925253
CCl4,IR,3476.18923,0.114043359
CCl4,IR,3474.13231,0.114116909
CCl4,IR,3472.07539,0.11409589
CCl4,IR,3470.01848,0.113990852
CCl4,IR,3467.96156,0.1138728
CCl4,IR,3465.90464,0.113838719
CCl4,IR,3463.84773,0.113851826
CCl4,IR,3461.79081,0.113896401
CCl4,IR,3459.73389,0.113982978
CCl4,IR,3457.67698,0.114006602
CCl4,IR,3455.62006,0.113933122
CCl4,IR,3453.56314,0.113851826
CCl4,IR,3451.50623,0.113786306
CCl4,IR,3449.44931,0.113760109
CCl4,IR,3447.39239,0.113809889
CCl4,IR,3445.33548,0.11391476
CCl4,IR,3443.27856,0.114045985
CCl4,IR,3441.22164,0.11409589
CCl4,IR,3439.16473,0.11403023
CCl4,IR,3437.10781,0.114043359
CCl4,IR,3435.05089,0.114182619
CCl4,IR,3432.99398,0.114287833
CCl4,IR,3430.93706,0.114306256
CCl4,IR,3428.88014,0.114340477
CCl4,IR,3426.82323,0.114401047
CCl4,IR,3424.76631,0.114364175
CCl4,IR,3422.70939,0.114208914
CCl4,IR,3420.65248,0.114074875
CCl4,IR,3418.59556,0.114032856
CCl4,IR,3416.53864,0.114035481
CCl4,IR,3414.48173,0.114072248
CCl4,IR,3412.42481,0.114101144
CCl4,IR,3410.36789,0.114093263
CCl4,IR,3408.31098,0.114069621
CCl4,IR,3406.25406,0.114048611
CCl4,IR,3404.19714,0.113977729
CCl4,IR,3402.14023,0.113870178
CCl4,IR,3400.08331,0.113891156
CCl4,IR,3398.02639,0.114040733
CCl4,IR,3395.96948,0.114101144
CCl4,IR,3393.91256,0.114059116
CCl4,IR,3391.85564,0.114056489
CCl4,IR,3389.79873,0.114032856
CCl4,IR,3387.74181,0.11394624
CCl4,IR,3385.68489,0.113883289
CCl4,IR,3383.62798,0.113912137
CCl4,IR,3381.57106,0.113912137
CCl4,IR,3379.51414,0.113854447
CCl4,IR,3377.45723,0.113896401
CCl4,IR,3375.40031,0.113980354
CCl4,IR,3373.34339,0.113975105
CCl4,IR,3371.28648,0.113940993
CCl4,IR,3369.22956,0.113964608
CCl4,IR,3367.17264,0.114001352
CCl4,IR,3365.11573,0.113940993
CCl4,IR,3363.05881,0.113849204
CCl4,IR,3361.00189,0.113804648
CCl4,IR,3358.94498,0.113836098
CCl4,IR,3356.88806,0.113951488
CCl4,IR,3354.83114,0.114064368
CCl4,IR,3352.77423,0.114088009
CCl4,IR,3350.71731,0.114064368
CCl4,IR,3348.66039,0.114093263
CCl4,IR,3346.60348,0.114177361
CCl4,IR,3344.54656,0.114203654
CCl4,IR,3342.48964,0.11409589
CCl4,IR,3340.43273,0.113988227
CCl4,IR,3338.37581,0.113982978
CCl4,IR,3336.31889,0.113969856
CCl4,IR,3334.26198,0.113906891
CCl4,IR,3332.20506,0.113885911
CCl4,IR,3330.14814,0.11395936
CCl4,IR,3328.09123,0.114082755
CCl4,IR,3326.03431,0.114130048
CCl4,IR,3323.97739,0.114069621
CCl4,IR,3321.92048,0.114001352
CCl4,IR,3319.86356,0.113980354
CCl4,IR,3317.80664,0.113998727
CCl4,IR,3315.74973,0.113996102
