Index,m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
192,273.076839,1,5754295,15,13,14,5,273.076847,0,0.333333333,0.933333333,9,0.52,274.0841236,273,0.778077,274,0.1474937,273,0.9233505,271,0.9560586,274,0.171265,273,0.9209242,273,0.9876371,5,6,4,4,9,4,5,1,648.1115201
194,275.019714,1,5653656,13,7,8,7,275.019726,0,0.538461538,0.615384615,10,0.684210526,276.0270026,275,0.718787,276,0.0908219,275,0.8650899,273,0.8838526,276,0.1147618,275,0.8626464,275,0.9298322,7,3,5,5,7,4,7,1,634.09587
196,275.056086,1,17693340,14,11,12,6,275.056112,-0.1,0.428571429,0.857142857,9,0.545454545,276.0633881,275,0.755132,276,0.1272159,275,0.9014541,273,0.9199556,276,0.1511589,275,0.8990103,275,0.9662049,7,5,4,5,9,3,7,1,632.1166055
197,275.092541,1,1522336,15,15,16,5,275.092497,0.2,0.333333333,1.066666667,8,0.44,276.0997736,275,0.791476,276,0.1636098,275,0.9378182,273,0.9560586,276,0.187556,275,0.9353741,276,0.0025776,4,6,2,4,9,1,4,1,594.1009554
209,277.035375,1,10655621,13,9,10,7,277.035376,0,0.538461538,0.769230769,9,0.578947368,278.0426527,277,0.732186,278,0.106938,277,0.8795576,275,0.8838526,278,0.1310527,277,0.8770963,277,0.9447726,8,4,5,5,8,4,7,1,590.1060408
211,277.071741,1,18887561,14,13,14,6,277.071762,-0.1,0.428571429,1,8,0.454545455,278.0790382,277,0.768531,278,0.1433319,277,0.9159218,275,0.9199556,278,0.1674498,277,0.9134601,277,0.9811453,5,5,3,5,9,3,5,1,578.1060408
215,279.051055,1,9548917,13,11,12,7,279.051026,0.1,0.538461538,0.923076923,8,0.473684211,280.0583027,279,0.745585,280,0.1230541,279,0.8940253,277,0.8838526,280,0.1473436,279,0.8915462,279,0.9597131,6,4,5,5,8,3,6,1,574.0747407
216,279.066131,1,919927,17,11,12,4,279.066282,-0.5,0.235294118,0.705882353,12,0.666666667,280.0735589,279,0.760824,280,0.1383138,279,0.9092725,277,0.8989903,280,0.1626046,279,0.9067932,279,0.9749639,2,6,5,3,11,4,8,1,570.1009554
217,279.087416,1,1951098,14,15,16,6,279.087412,0,0.428571429,1.142857143,7,0.363636364,280.0946882,279,0.78193,280,0.159448,279,0.9303895,277,0.9199556,280,0.1837407,279,0.92791,279,0.9960858,4,5,2,5,8,2,3,1,566.1060408
219,281.030297,1,4519269,12,9,10,8,281.030291,0,0.666666667,0.833333333,8,0.5,282.0375673,281,0.72264,282,0.1027763,281,0.8721289,279,0.8477496,282,0.1272375,281,0.8696322,281,0.9382809,8,3,4,4,6,3,5,1,564.0903907
221,281.045539,1,2022503,16,9,10,5,281.045547,0,0.3125,0.625,12,0.703703704,282.0528234,281,0.737879,282,0.118036,281,0.8873761,279,0.8628873,282,0.1424985,281,0.8848793,281,0.9535317,7,4,5,5,8,4,8,1,560.0954761
223,281.066696,1,3475818,13,13,14,7,281.066676,0.1,0.538461538,1.076923077,7,0.368421053,282.0739528,281,0.758985,282,0.1391702,281,0.908493,279,0.8838526,282,0.1636345,281,0.905996,281,0.9746536,6,4,4,5,7,2,4,1,558.1162115
224,281.08192,1,1222764,17,13,14,4,281.081932,0,0.235294118,0.823529412,11,0.6,282.0892089,281,0.774224,282,0.1544299,281,0.9237402,279,0.8989903,282,0.1788955,281,0.9212431,281,0.9899044,4,6,4,3,11,3,6,1,546.079826
227,283.024787,1,1743963,15,7,8,6,283.024812,-0.1,0.4,0.533333333,12,0.75,284.032088,283,0.714933,284,0.0977581,283,0.8654796,281,0.8267843,284,0.1223923,283,0.8629653,283,0.9320995,8,4,6,5,8,5,8,1,544.0853053
229,283.045946,1,4346461,12,11,12,8,283.045941,0,0.666666667,1,7,0.375,284.0532174,283,0.736039,284,0.1188924,283,0.8865966,281,0.8477496,284,0.1435284,283,0.8840821,283,0.9532214,5,3,4,4,6,2,5,1,540.1267762
231,283.061202,1,5253727,16,11,12,5,283.061197,0,0.3125,0.75,11,0.62962963,284.0684735,283,0.751278,284,0.1341521,283,0.9018438,281,0.8628873,284,0.1587894,283,0.8993291,283,0.9684722,5,6,4,5,10,4,7,1,538.1111262
235,285.02521,1,1920085,11,9,10,9,285.025205,0,0.818181818,0.909090909,7,0.384615385,286.0324819,285,0.713094,286,0.0986146,285,0.8647002,283,0.8116467,286,0.1234222,285,0.8621681,285,0.9317892,5,2,3,3,4,3,4,1,536.0954761
237,285.040476,1,8003415,15,9,10,6,285.040462,0.1,0.4,0.666666667,11,0.666666667,286.0477381,285,0.728333,286,0.1138742,285,0.8799473,283,0.8267843,286,0.1386832,285,0.8774152,285,0.94704,8,4,6,5,7,4,8,1,534.1162115
238,285.061617,1,1198809,12,13,14,8,285.061591,0.1,0.666666667,1.166666667,6,0.25,286.0688674,285,0.749439,286,0.1350085,285,0.9010643,283,0.8477496,286,0.1598193,285,0.898532,285,0.9681619,4,3,3,4,5,1,3,1,532.1005615
240,285.076842,1,7163739,16,13,14,5,285.076847,0,0.3125,0.875,10,0.555555556,286.0841236,285,0.764678,286,0.1502682,285,0.9163115,283,0.8628873,286,0.1750803,285,0.913779,285,0.9834127,6,6,4,5,11,3,7,1,532.064176
245,287.019707,1,7325778,14,7,8,7,287.019726,-0.1,0.5,0.571428571,11,0.714285714,288.0270026,287,0.705387,288,0.0935964,287,0.8580509,285,0.7906813,288,0.1185771,287,0.8555012,287,0.9256078,9,4,5,6,6,5,8,1,520.1005615
249,287.092543,1,2834011,16,15,16,5,287.092497,0.2,0.3125,1,9,0.481481481,288.0997736,287,0.778077,288,0.1663843,287,0.9307792,285,0.8628873,288,0.1913712,287,0.9282289,287,0.9983532,5,5,4,5,9,2,4,1,514.1111262
253,288.998998,1,1437520,13,5,6,8,288.998991,0,0.615384615,0.461538462,11,0.777777778,290.0062672,289,0.682442,290,0.0733186,289,0.8361545,287,0.7545783,290,0.0984709,289,0.8335872,289,0.9041756,10,2,5,6,3,5,8,1,510.079826
